Station: Zürich-Kaserne
Urban
Hourly means
MEZ/CET
Source: NABEL
Date/time;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NMVOC [ppm];NOX [ug/m3 eq. NO2]
01.01.2021 01:00;8.4;42.3;4.6;0.53;142.1;127.1;1.8;0.2;67.7
01.01.2021 02:00;5.6;43.6;6.1;0.52;130.0;121.2;1.8;0.2;55.9
01.01.2021 03:00;10.2;39.1;5.0;0.44;110.1;101.7;1.2;0.1;47.1
01.01.2021 04:00;31.2;24.5;2.2;0.34;47.0;43.1;0.6;0.1;26.5
01.01.2021 05:00;33.7;23.4;1.7;0.32;30.5;28.2;0.5;0.1;24.5
01.01.2021 06:00;33.4;23.8;1.5;0.32;25.0;23.5;0.4;0.1;26.0
01.01.2021 07:00;36.9;18.9;1.1;0.32;12.8;11.5;0.3;0.1;20.6
01.01.2021 08:00;28.4;20.6;0.9;0.34;19.0;17.7;0.4;0.1;23.8
01.01.2021 09:00;26.1;21.7;1.0;0.38;17.9;16.8;0.4;0.1;23.7
01.01.2021 10:00;23.6;24.8;1.3;0.32;14.9;13.8;0.4;0.1;29.7
01.01.2021 11:00;28.6;20.1;1.4;0.33;13.6;12.3;0.3;0.1;26.8
01.01.2021 12:00;35.8;15.2;1.1;0.27;8.9;7.7;0.2;0.0;19.6
01.01.2021 13:00;39.7;12.6;0.9;0.26;7.6;6.4;0.2;0.0;15.9
01.01.2021 14:00;35.7;14.6;0.8;0.27;8.0;6.8;0.2;0.0;18.3
01.01.2021 15:00;33.8;15.7;0.8;0.26;8.6;7.3;0.2;0.0;19.5
01.01.2021 16:00;29.2;18.1;0.9;0.29;8.7;7.4;0.3;0.0;21.7
01.01.2021 17:00;24.9;22.7;0.9;0.31;9.0;7.6;0.4;0.1;26.3
01.01.2021 18:00;27.7;24.4;0.9;0.30;7.2;5.8;0.4;0.1;27.6
01.01.2021 19:00;31.0;20.1;0.8;0.30;8.0;6.6;0.3;0.1;23.3
01.01.2021 20:00;31.9;20.4;0.8;0.31;8.3;6.9;0.3;0.1;22.4
01.01.2021 21:00;26.5;21.5;0.9;0.30;9.5;8.1;0.4;0.1;24.2
01.01.2021 22:00;31.4;18.2;0.7;0.29;8.3;6.6;0.3;0.0;19.5
01.01.2021 23:00;25.9;20.4;0.7;0.29;9.1;7.6;0.3;0.0;21.8
02.01.2021 00:00;27.0;16.1;0.8;0.27;9.9;8.5;0.3;0.0;16.9
02.01.2021 01:00;25.8;16.1;0.8;0.28;9.9;8.6;0.3;0.0;17.0
02.01.2021 02:00;26.9;14.8;0.8;0.27;11.1;9.9;0.3;0.0;16.1
02.01.2021 03:00;27.7;12.6;0.7;0.26;11.9;10.6;0.3;0.0;13.1
02.01.2021 04:00;29.0;11.3;0.7;0.25;12.1;11.0;0.2;0.0;11.6
02.01.2021 05:00;28.4;11.1;0.7;0.25;13.0;11.7;0.2;0.0;11.8
02.01.2021 06:00;25.6;13.2;0.7;0.26;13.2;12.1;0.2;0.0;14.6
02.01.2021 07:00;23.7;13.8;0.8;0.26;13.4;12.1;0.2;0.0;14.7
02.01.2021 08:00;25.0;13.9;0.9;0.26;13.4;12.3;0.2;0.0;14.7
02.01.2021 09:00;25.1;15.0;1.1;0.26;13.4;12.2;0.2;0.0;16.1
02.01.2021 10:00;25.9;15.2;1.0;0.26;13.3;12.2;0.2;0.0;17.0
02.01.2021 11:00;27.6;16.5;1.0;0.26;14.1;12.7;0.3;0.0;18.7
02.01.2021 12:00;27.9;16.9;1.0;0.27;14.0;12.7;0.3;0.0;19.7
02.01.2021 13:00;29.5;17.0;0.9;0.27;13.7;12.4;0.3;0.0;20.4
02.01.2021 14:00;30.4;18.2;0.9;0.26;13.5;11.9;0.3;0.0;21.1
