date,stringency_index,new_cases_smoothed_per_million,people_vaccinated_per_hundred,reproduction_rate,positive_rate
2021-01-01,60.19,386.46,0.07,0.99,0.16
2021-01-02,60.19,386.46,0.07,1.0,0.17
2021-01-03,60.19,378.4,0.07,1.01,0.17
2021-01-04,60.19,378.4,0.11,1.02,0.17
2021-01-05,60.19,378.4,0.19,1.01,0.16
2021-01-06,60.19,378.4,0.26,1.0,0.16
2021-01-07,60.19,378.4,0.34,0.98,0.16
2021-01-08,60.19,378.4,0.43,0.96,0.15
2021-01-09,60.19,378.4,0.46,0.94,0.15
2021-01-10,60.19,373.09,0.46,0.91,0.14
2021-01-11,60.19,373.09,0.54,0.89,0.14
2021-01-12,60.19,373.09,0.66,0.88,0.13
2021-01-13,60.19,373.09,0.78,0.87,0.13
2021-01-14,60.19,373.09,0.9,0.86,0.12
2021-01-15,60.19,373.09,1.02,0.86,0.12
2021-01-16,60.19,373.09,1.07,0.85,0.12
2021-01-17,60.19,253.46,1.08,0.85,0.12
2021-01-18,60.19,253.46,1.21,0.84,0.11
2021-01-19,60.19,253.46,1.39,0.85,0.11
2021-01-20,60.19,253.46,1.62,0.85,0.1
2021-01-21,60.19,253.46,1.87,0.86,0.1
2021-01-22,60.19,253.46,2.09,0.86,0.1
2021-01-23,60.19,253.46,2.16,0.86,0.09
2021-01-24,60.19,221.76,2.17,0.86,0.09
2021-01-25,60.19,221.76,2.35,0.86,0.09
2021-01-26,60.19,221.76,2.6,0.86,0.08
2021-01-27,60.19,221.76,2.86,0.86,0.08
2021-01-28,60.19,221.76,3.13,0.87,0.08
2021-01-29,60.19,221.76,3.37,0.88,0.08
2021-01-30,60.19,221.76,3.43,0.88,0.08
2021-01-31,60.19,186.92,3.44,0.88,0.08
2021-02-01,60.19,186.92,3.58,0.88,0.07
2021-02-02,60.19,186.92,3.74,0.88,0.07
2021-02-03,60.19,186.92,3.89,0.88,0.07
2021-02-04,60.19,186.92,4.05,0.88,0.06
2021-02-05,60.19,186.92,4.19,0.89,0.06
2021-02-06,60.19,186.92,4.21,0.89,0.06
2021-02-07,60.19,164.55,4.22,0.88,0.06
2021-02-08,60.19,164.55,4.33,0.88,0.06
2021-02-09,60.19,164.55,4.49,0.88,0.06
2021-02-10,60.19,164.55,4.68,0.88,0.05
2021-02-11,60.19,164.55,4.86,0.88,0.05
2021-02-12,60.19,164.55,5.04,0.88,0.05
2021-02-13,60.19,164.55,5.08,0.88,0.05
2021-02-14,60.19,130.83,5.09,0.88,0.05
2021-02-15,60.19,130.83,5.2,0.88,0.05
2021-02-16,60.19,130.83,5.34,0.88,0.04
2021-02-17,60.19,130.83,5.46,0.9,0.04
2021-02-18,60.19,130.83,5.6,0.91,0.04
2021-02-19,60.19,130.83,5.71,0.92,0.04
2021-02-20,60.19,130.83,5.74,0.93,0.04
2021-02-21,60.19,112.7,5.75,0.95,0.04
2021-02-22,60.19,112.7,5.83,0.96,0.05
2021-02-23,60.19,112.7,5.94,0.97,0.05
2021-02-24,60.19,112.7,6.05,0.98,0.05
2021-02-25,60.19,112.7,6.16,0.99,0.05
2021-02-26,60.19,112.7,6.26,1.01,0.05
2021-02-27,60.19,112.7,6.28,1.02,0.05
2021-02-28,60.19,116.84,6.29,1.03,0.05
2021-03-01,60.19,116.84,6.41,1.04,0.05
2021-03-02,60.19,116.84,6.54,1.05,0.05
2021-03-03,60.19,116.84,6.71,1.06,0.05
2021-03-04,60.19,116.84,6.91,1.08,0.05
2021-03-05,60.19,116.84,7.08,1.09,0.05
2021-03-06,60.19,116.84,7.12,1.1,0.05
2021-03-07,60.19,122.61,7.13,1.12,0.05
2021-03-08,60.19,122.61,7.27,1.13,0.05
2021-03-09,60.19,122.61,7.47,1.14,0.05
2021-03-10,60.19,122.61,7.68,1.15,0.05
2021-03-11,60.19,122.61,7.9,1.15,0.05
2021-03-12,60.19,122.61,8.08,1.16,0.05
2021-03-13,60.19,122.61,8.13,1.17,0.05
2021-03-14,60.19,140.74,8.14,1.18,0.05
2021-03-15,60.19,140.74,8.26,1.19,0.05
2021-03-16,60.19,140.74,8.43,1.2,0.05
2021-03-17,60.19,140.74,8.61,1.2,0.05
2021-03-18,60.19,140.74,8.8,1.2,0.05
2021-03-19,60.19,140.74,8.97,1.21,0.05
2021-03-20,60.19,140.74,9.0,1.21,0.05
2021-03-21,60.19,169.13,9.01,1.21,0.05
2021-03-22,60.19,169.13,9.17,1.21,0.05
2021-03-23,60.19,169.13,9.38,1.21,0.05
2021-03-24,60.19,169.13,9.62,1.21,0.05
2021-03-25,60.19,169.13,9.9,1.21,0.05
2021-03-26,60.19,169.13,10.17,1.21,0.05
2021-03-27,60.19,169.13,10.25,1.2,0.05
2021-03-28,60.19,200.24,10.29,1.2,0.06
2021-03-29,60.19,200.24,10.52,1.2,0.06
2021-03-30,60.19,200.24,10.84,1.17,0.06
2021-03-31,60.19,200.24,11.12,1.17,0.05
2021-04-01,60.19,200.24,11.39,1.16,0.05
2021-04-02,60.19,200.24,11.46,1.15,0.05
2021-04-03,60.19,200.24,11.5,1.14,0.05
2021-04-04,60.19,199.17,11.51,1.13,0.05
2021-04-05,60.19,199.17,11.56,1.13,0.05
2021-04-06,60.19,199.17,11.77,1.19,0.05
2021-04-07,60.19,199.17,12.07,1.2,0.06
2021-04-08,60.19,199.17,12.42,1.21,0.07
2021-04-09,60.19,199.17,12.76,1.2,0.07
2021-04-10,60.19,199.17,12.88,1.2,0.07
2021-04-11,60.19,227.1,12.91,1.2,0.08
2021-04-12,60.19,227.1,13.27,1.19,0.08
2021-04-13,60.19,227.1,13.69,1.16,0.08
2021-04-14,60.19,227.1,14.15,1.15,0.08
2021-04-15,60.19,227.1,14.62,1.13,0.08
2021-04-16,60.19,227.1,15.06,1.12,0.08
2021-04-17,60.19,227.1,15.22,1.11,0.08
2021-04-18,60.19,230.89,15.28,1.1,0.08
2021-04-19,50.93,230.89,15.7,1.09,0.08
2021-04-20,50.93,230.89,16.2,1.08,0.08
2021-04-21,50.93,230.89,16.73,1.07,0.09
2021-04-22,50.93,230.89,17.31,1.06,0.09
2021-04-23,50.93,230.89,17.84,1.05,0.09
2021-04-24,50.93,230.89,18.08,1.05,0.09
2021-04-25,50.93,233.6,18.19,1.04,0.09
2021-04-26,50.93,233.6,18.62,1.03,0.08
2021-04-27,50.93,233.6,19.19,1.01,0.08
2021-04-28,50.93,233.6,19.79,1.0,0.08
2021-04-29,50.93,233.6,20.36,0.98,0.08
2021-04-30,50.93,233.6,20.96,0.97,0.08
2021-05-01,50.93,233.6,21.26,0.96,0.07
2021-05-02,50.93,198.6,21.4,0.94,0.07
2021-05-03,50.93,198.6,21.99,0.93,0.07
2021-05-04,50.93,198.6,22.62,0.92,0.07
2021-05-05,50.93,198.6,23.22,0.92,0.07
2021-05-06,50.93,198.6,23.91,0.92,0.07
2021-05-07,50.93,198.6,24.55,0.91,0.07
2021-05-08,50.93,198.6,24.9,0.91,0.06
2021-05-09,50.93,168.17,25.05,0.9,0.06
2021-05-10,50.93,168.17,25.59,0.9,0.06
2021-05-11,50.93,168.17,26.23,0.88,0.06
2021-05-12,50.93,168.17,26.87,0.88,0.05
