station_abbr;reference_timestamp;kaalnud0;kabetud0;kacoryd0;kafagud0;kafraxd0;kaquerd0;khpoacd0;kaalnud1;kabetud1;kacoryd1;kafagud1;kafraxd1;kaquerd1;khpoacd1
PZH;30.04.1981 00:00;;0.0;;15.0;10.0;15.0;0.0;;;;;;;
PZH;01.05.1981 00:00;;5.0;;5.0;;30.0;5.0;;;;;;;
PZH;02.05.1981 00:00;;0.0;;5.0;;35.0;0.0;;;;;;;
PZH;03.05.1981 00:00;;0.0;;15.0;15.0;30.0;0.0;;;;;;;
PZH;04.05.1981 00:00;;0.0;;15.0;5.0;20.0;5.0;;;;;;;
PZH;05.05.1981 00:00;;0.0;;20.0;;5.0;0.0;;;;;;;
PZH;06.05.1981 00:00;;5.0;;;;;0.0;;;;;;;
PZH;07.05.1981 00:00;;5.0;;40.0;10.0;55.0;10.0;;;;;;;
PZH;08.05.1981 00:00;5.0;25.0;;60.0;5.0;70.0;25.0;;;;;;;
PZH;09.05.1981 00:00;;5.0;;40.0;5.0;35.0;10.0;;;;;;;
PZH;10.05.1981 00:00;;0.0;;25.0;5.0;10.0;0.0;;;;;;;
PZH;11.05.1981 00:00;;0.0;;15.0;;25.0;15.0;;;;;;;
PZH;12.05.1981 00:00;;0.0;;;;10.0;25.0;;;;;;;
PZH;13.05.1981 00:00;;0.0;;15.0;10.0;15.0;5.0;;;;;;;
PZH;14.05.1981 00:00;;0.0;;15.0;;15.0;35.0;;;;;;;
PZH;15.05.1981 00:00;10.0;0.0;;20.0;15.0;55.0;45.0;;;;;;;
PZH;16.05.1981 00:00;;0.0;;15.0;5.0;25.0;30.0;;;;;;;
PZH;17.05.1981 00:00;;5.0;;60.0;5.0;45.0;35.0;;;;;;;
PZH;26.05.1981 00:00;;0.0;;;;5.0;10.0;;;;;;;
PZH;27.05.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;28.05.1981 00:00;;0.0;;;5.0;;50.0;;;;;;;
PZH;29.05.1981 00:00;;0.0;;;;;35.0;;;;;;;
PZH;30.05.1981 00:00;20.0;0.0;;5.0;;5.0;85.0;;;;;;;
PZH;31.05.1981 00:00;30.0;5.0;;;;10.0;130.0;;;;;;;
PZH;01.06.1981 00:00;25.0;0.0;;20.0;;5.0;175.0;;;;;;;
PZH;02.06.1981 00:00;30.0;0.0;;10.0;;15.0;80.0;;;;;;;
PZH;03.06.1981 00:00;5.0;0.0;;10.0;;10.0;150.0;;;;;;;
PZH;04.06.1981 00:00;5.0;0.0;;5.0;;;45.0;;;;;;;
PZH;05.06.1981 00:00;;0.0;;;;;130.0;;;;;;;
PZH;06.06.1981 00:00;5.0;0.0;;;;;35.0;;;;;;;
PZH;07.06.1981 00:00;;0.0;;10.0;;5.0;40.0;;;;;;;
PZH;08.06.1981 00:00;;0.0;;10.0;;25.0;45.0;;;;;;;
PZH;09.06.1981 00:00;;0.0;;;;5.0;90.0;;;;;;;
PZH;10.06.1981 00:00;;0.0;;10.0;;5.0;45.0;;;;;;;
PZH;11.06.1981 00:00;;0.0;;;;10.0;45.0;;;;;;;
PZH;12.06.1981 00:00;;0.0;;;;;115.0;;;;;;;
PZH;13.06.1981 00:00;;0.0;;;;;25.0;;;;;;;
PZH;14.06.1981 00:00;;0.0;;;;;30.0;;;;;;;
PZH;15.06.1981 00:00;;5.0;;15.0;;5.0;60.0;;;;;;;
PZH;16.06.1981 00:00;;0.0;;;;;20.0;;;;;;;
PZH;17.06.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;18.06.1981 00:00;;0.0;;;;;35.0;;;;;;;
PZH;19.06.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;20.06.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;21.06.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;22.06.1981 00:00;;0.0;;;;;60.0;;;;;;;
PZH;23.06.1981 00:00;;0.0;;;;5.0;30.0;;;;;;;
PZH;24.06.1981 00:00;;0.0;;;;5.0;40.0;;;;;;;
PZH;25.06.1981 00:00;;0.0;;;;;25.0;;;;;;;
PZH;26.06.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;27.06.1981 00:00;;0.0;;;;;55.0;;;;;;;
PZH;28.06.1981 00:00;;0.0;;;;;50.0;;;;;;;
PZH;29.06.1981 00:00;;0.0;;;;5.0;60.0;;;;;;;
PZH;30.06.1981 00:00;;0.0;;;;;40.0;;;;;;;
PZH;01.07.1981 00:00;;0.0;;;;;70.0;;;;;;;
PZH;02.07.1981 00:00;;0.0;;;;;90.0;;;;;;;
PZH;03.07.1981 00:00;;0.0;;;;;45.0;;;;;;;
PZH;04.07.1981 00:00;;0.0;;;;;50.0;;;;;;;
PZH;05.07.1981 00:00;;0.0;;;5.0;;65.0;;;;;;;
PZH;06.07.1981 00:00;;0.0;;;;;65.0;;;;;;;
PZH;07.07.1981 00:00;;0.0;;;;5.0;65.0;;;;;;;
PZH;08.07.1981 00:00;;0.0;;;;;45.0;;;;;;;
PZH;09.07.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;10.07.1981 00:00;;0.0;;;5.0;;20.0;;;;;;;
PZH;11.07.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;12.07.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;13.07.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;14.07.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;15.07.1981 00:00;;0.0;;;;;30.0;;;;;;;
PZH;16.07.1981 00:00;;0.0;;;;;65.0;;;;;;;
PZH;17.07.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;18.07.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;19.07.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;20.07.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;21.07.1981 00:00;;0.0;;;;;50.0;;;;;;;
PZH;22.07.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;23.07.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;24.07.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;25.07.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;26.07.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;27.07.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;28.07.1981 00:00;;0.0;;;;;30.0;;;;;;;
PZH;29.07.1981 00:00;;0.0;;;;;25.0;;;;;;;
PZH;30.07.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;31.07.1981 00:00;5.0;0.0;;;;;5.0;;;;;;;
PZH;01.08.1981 00:00;;0.0;;;;;20.0;;;;;;;
PZH;02.08.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;03.08.1981 00:00;;0.0;;;;;25.0;;;;;;;
PZH;04.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;05.08.1981 00:00;;0.0;;;;;20.0;;;;;;;
PZH;06.08.1981 00:00;;0.0;;;;;20.0;;;;;;;
PZH;07.08.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;08.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;09.08.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;10.08.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;11.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;12.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;13.08.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;14.08.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;15.08.1981 00:00;;0.0;;;;;20.0;;;;;;;
PZH;16.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;17.08.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;18.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;19.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;20.08.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;21.08.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;22.08.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;23.08.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;24.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;25.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;26.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;27.08.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;28.08.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;29.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;30.08.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;31.08.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;01.09.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;02.09.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;03.09.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;04.09.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;05.09.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;06.09.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;07.09.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;08.09.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;09.09.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;10.09.1981 00:00;;0.0;;;;;10.0;;;;;;;
PZH;11.09.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;12.09.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;13.09.1981 00:00;;0.0;;;;;15.0;;;;;;;
PZH;14.09.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;15.09.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;16.09.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;17.09.1981 00:00;;0.0;;;;;0.0;;;;;;;
PZH;18.09.1981 00:00;;0.0;;;;;5.0;;;;;;;
PZH;19.09.1981 00:00;;0.0;;;;;0.0;;;;;;;
